,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
215,Trescore Balneario,scossàl,Sunì,saàta,Orolòi,Cudeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,culumbine,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
216,Treviglio,scussalina,Pursèl,sibra,Orolòi,Cudeghì,Sacòcia,Talamora,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,s-cioparöle,Sàss,Galina,Mignaga,Fregoie,Prestinér,Macelér,scanaöcc,petònega,Marèll,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
217,Treviolo,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Bignaga,Gandaie,Fornér,Macelér,scanaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
218,Ubiale Clanezzo,scossàl,Porsèl,sébra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,méche,Sàss,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Barba,ol bastù,ol pisalobia,butù,Bagnàt,ol borla,l'ass de spade,Maserét
219,Urgnano,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,s-cioparöle,Plòch,Poia,Bignaga,Fregoie,Fornér,Macelér,scanaöcc,petònega,Pötvecc,l'ass de bastù,ol pisagì,butù,Bagnàt,la borla,l'ass de spade,Maserét
220,Val Brembilla,scossàl,Porsèl,sibra,Leròi,Cudeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,s-cioparöle,Sàss,Poia,Albicòch,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
221,Valbondione,bigaröl,Porsèl,sibra,Relòi,Strinù,Scarsèla,Telimora,Nessun Dato,Coèrcc,Nessun Dato,Pedriöl,Corlass,s-cioparöle,Nessun Dato,Galina,Nessun Dato,Migole,Paneter ,Macelér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,La polenta,l'ass de spade,Maserét
222,Valbrembo,scossàl,Porsèl,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,topinéra,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
223,Valgoglio,Nessun Dato,Nessun Dato,sébra,Nessun Dato,Nessun Dato,Gaiòfa,Nessun Dato,Nessun Dato,Nessun Dato,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Bagnat mis
224,Valleve,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pita,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
225,Valnegra,scossàl,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
226,Valtorta,scossàl,Porsèl,Zebra con la z molto marcata ,Leròi,Codeghì,Scarsèla,Talamora ,Tüpina,Nessun Dato,Nessun Dato,Pedriöl,Fols,méche,"Piòch, plòchada quando vine lanciato",Galina,Albicòch,Mögazze,Panèter,Macelér,Nessun Dato,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
227,Vedeseta,Nessun Dato,Pursèl,Nessun Dato,Nessun Dato,Nessun Dato,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Fols,s-ciuparöle,Nessun Dato,Poia,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
228,Verdellino,bigaröla,Porsèl,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Fregói,Fornér,Macelér,becaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,La cüla,l'ass de spade,Maserét
229,Verdello,bigaröla,Porsèl,sibra,Orolòi,Cudeghì,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Migole,Prestinér,Macelér,Nessun Dato,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
230,Vertova,bigaröla,Porsèl,söbra,Leròi,Strinù,Scarsèla,Telemora,Tapinera,Coèrcc,Solfanèl,Pedriöl,Podet,Pop corn,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Mézz
231,Viadanica,bigaröla,Sunì,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pedriöl,Podet o podeta,Nessun Dato,Nessun Dato,Poia,Nessun Dato,Nessun Dato,Panetér,Bechér,Nessun Dato,petònega,Furbo,ol bastù,l'ass de coppe,bigol,Bagnàt,la borla,l'ass de spade,Méss
232,Vigano San Martino,scossalina,Sunì,saàta,Orolòi,Nessun Dato,Carsèla,Tiramola,Nessun Dato,Coèrcc,Fiamifer,Nessun Dato,Podet,Nessun Dato,Nessun Dato,Poia,Bignaga,Nessun Dato,Fornér,Macelér,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
233,Vigolo,bigaröla,Sunì,Sapata ,Orolòi,Strinù,Scarsèla,Talamora,Tupina,Nessun Dato,Nessun Dato,Nessun Dato,Pudeta ,Nessun Dato,Plòch,Poia,Nessun Dato,Nessun Dato,Paneter ,Nessun Dato,Nessun Dato,tofa,Pöt,Nessun Dato,Nessun Dato,bigol,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
234,Villa d'Adda,scussàl,Pursèl,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,Nessun Dato,Coèrcc,Solferì,Pedriöl,Pighezzot,culumbine,Sàss,Poia,Mignaga,Gandaie,Fornér,Nessun Dato,becaöcc,zabèta,Barba,ol vincerai,ol pisì,Nessun Dato,Bagnàt,ol borla,ol taiamerde,Maserét
235,Villa d'Alme,bigaröla,Sunì,Nessun Dato,Relòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pighess,s-cioparöle,Sàss,Poia,Bignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,butù,Bagnàt,Ol polentú,l'ass de spade,Maserét
236,Villa d'Ogna,scossàl,Sunì,saàta,Leròi,Strinù,Gaiòfa,Telimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Galina,Nessun Dato,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,butù,Méss,La polenta ,l'ass de spade,Méss trebatìt
237,Villa di Serio,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,méche,Plòch,Poia,Albicòch,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
238,Villongo,bigaröl,Sunì,saàta,Urlòi,Strinù,Gaiòfa,Talamora,Tupina ,Coèrcc,Fiamifer,Turtaröl,Podet,s-cioparöle,Plòch,Poia,Nessun Dato,Migole,Fornér,Macelér,Nessun Dato,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
239,Vilminore di Scalve,bigaröl,Pursèl,sibra,Relòi,Strinù,Sacòcia,Telemora,tópa,Coèrcc,Fiamifer,Pedriöl,Pudètò,Nessun Dato,Sàss,Galina,Albicòcò,Migole,Paneter ,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
240,Zandobbio,Nessun Dato,Sunì,söbra,Relòi,Cudeghì,Scarsèla,Telemora,Trapunara,Coèrcc,Sufranel/fülminant,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Migle,Fornér,Bechér,becaöcc,petònega,Nessun Dato,l'ass de bastù,ol pisagì,butù,Bagnàt,La cula,l'ass de spade,Mes
241,Zanica,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Pighess,culumbine,Sàss,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pöt,ol vincerai,ol pisì,bigol,Bagnàt,l'ass de ori,l'ass de spade,Maserét
242,Zogno,bigaröl,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Corlass,méche,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,la bola,l'ass de spade,Maserét
